Team_x,Year,Rk,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Playoffs,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Successful,Arena,Attend.,Attend./G,Lost To,Round made it to,Team_y,Lost to Rk,Lost to Age,Lost to W,Lost to L,Lost to PW,Lost to PL,Lost to MOV,Lost to SOS,Lost to SRS,Lost to ORtg,Lost to DRtg,Lost to NRtg,Lost to Pace,Lost to FTr,Lost to 3PAr,Lost to TS%,Lost to eFG%,Lost to TOV%,Lost to ORB%,Lost to FT/FGA,Lost to Playoffs,Lost to eFG%.1,Lost to TOV%.1,Lost to DRB%,Lost to FT/FGA.1,Lost to Successful,Lost to Arena,Lost to Attend.,Lost to Attend./G,Lost to Round made it to,Difference NRtg,Difference W,Difference MOV,Difference Pace,Difference ORtg,Difference DRtg,Difference Age,Difference TS%
Houston Rockets,2011,11,26.5,43,39,47,35,2.18,0.19,2.37,111.3,109.0,2.3,94.2,0.299,0.264,0.55,0.503,12.3,27.4,0.239,,0.5,12.6,72.7,0.219,0,Toyota Center,"663,839","16,191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,2011,12,26.7,48,34,46,36,1.52,0.32,1.85,108.8,107.1,1.7,87.9,0.278,0.228,0.533,0.486,12.6,29.5,0.224,1.0,0.51,15.4,72.0,0.231,0,Rose Garden Arena,"840,924","20,510",Dallas Mavericks,Conference First Round,Dallas Mavericks,8.0,30.9,57.0,25.0,53.0,29.0,4.23,0.18,4.41,109.7,105.0,4.7,91.3,0.286,0.274,0.565,0.525,13.6,24.1,0.222,1.0,0.488,13.0,74.8,0.206,1.0,American Airlines Center,"824,162","20,102",NBA Champion,3.0,9.0,2.7100000000000004,3.3999999999999915,0.9000000000000057,-2.0999999999999943,4.199999999999999,0.03199999999999992
Philadelphia 76ers,2011,13,24.7,41,41,45,37,1.5,-0.5,1.01,106.6,105.0,1.6,91.7,0.273,0.184,0.535,0.494,12.3,24.6,0.21,1.0,0.487,13.5,74.5,0.231,0,Wells Fargo Center,"604,823","14,752",Miami Heat,Conference First Round,Miami Heat,1.0,29.0,58.0,24.0,61.0,21.0,7.46,-0.71,6.76,111.7,103.5,8.2,90.9,0.363,0.235,0.573,0.524,13.5,25.2,0.279,1.0,0.475,12.6,75.5,0.223,1.0,AmericanAirlines Arena,"810,930","19,779",Finals,6.6,17.0,5.96,-0.7999999999999972,5.1000000000000085,-1.5,4.300000000000001,0.03799999999999992
New Orleans Hornets,2011,14,26.3,46,36,44,38,0.89,0.39,1.28,106.2,105.2,1.0,88.7,0.296,0.192,0.537,0.493,12.8,25.1,0.226,1.0,0.501,14.4,76.2,0.22,0,New Orleans Arena,"603,088","14,709",Los Angeles Lakers,Conference First Round,Los Angeles Lakers,3.0,30.2,57.0,25.0,58.0,24.0,6.11,-0.1,6.01,111.0,104.3,6.7,90.7,0.293,0.22,0.545,0.502,12.3,29.2,0.228,1.0,0.477,12.8,72.3,0.181,0.0,STAPLES Center,"778,877","18,997",Conference Semifinals,5.7,11.0,5.220000000000001,2.0,4.799999999999997,-0.9000000000000057,3.8999999999999986,0.008000000000000007
New York Knicks,2011,15,25.3,42,40,43,39,0.78,-0.3,0.48,110.9,110.1,0.8,95.6,0.304,0.303,0.561,0.513,12.6,24.2,0.246,1.0,0.511,13.8,71.9,0.24,0,Madison Square Garden (IV),"808,879","19,729",Boston Celtics,Conference First Round,Boston Celtics,5.0,29.5,56.0,26.0,57.0,25.0,5.37,-0.54,4.83,106.2,100.3,5.9,90.4,0.305,0.18,0.561,0.519,14.5,21.1,0.235,1.0,0.469,14.8,74.7,0.235,0.0,TD Garden,"763,584","18,624",Conference Semifinals,5.1000000000000005,14.0,4.59,-5.199999999999989,-4.700000000000003,-9.799999999999997,4.199999999999999,0.0
Milwaukee Bucks,2011,16,26.7,35,47,38,44,-0.84,-0.17,-1.02,101.6,102.5,-0.9,89.8,0.287,0.216,0.511,0.467,13.0,24.7,0.217,,0.481,14.7,74.8,0.236,0,Bradley Center,"631,912","15,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,2011,17,29.6,40,42,39,43,-0.89,0.43,-0.46,109.5,110.4,-0.9,94.4,0.283,0.271,0.559,0.522,13.2,23.7,0.215,,0.513,13.1,71.6,0.211,0,US Airways Center,"720,249","17,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,2011,18,27.4,44,38,39,43,-0.82,-0.28,-1.1,106.1,107.0,-0.9,89.3,0.269,0.222,0.542,0.501,13.5,23.4,0.209,1.0,0.495,12.3,74.6,0.211,0,Philips Arena,"641,596","15,649",Chicago Bulls,Conference Semifinals,Chicago Bulls,2.0,26.4,62.0,20.0,61.0,21.0,7.32,-0.79,6.53,108.3,100.3,8.0,90.4,0.305,0.215,0.541,0.501,13.5,29.4,0.227,1.0,0.463,13.6,76.2,0.222,1.0,United Center,"893,462","21,792",Conference Finals,8.9,18.0,8.14,1.1000000000000085,2.200000000000003,-6.700000000000003,-1.0,-0.0010000000000000009
Indiana Pacers,2011,19,25.9,37,45,38,44,-1.07,-0.3,-1.38,104.8,106.0,-1.2,94.7,0.3,0.244,0.533,0.486,14.1,25.9,0.235,1.0,0.487,12.8,74.1,0.237,0,Conseco Fieldhouse,"555,077","13,538",Chicago Bulls,Conference First Round,Chicago Bulls,2.0,26.4,62.0,20.0,61.0,21.0,7.32,-0.79,6.53,108.3,100.3,8.0,90.4,0.305,0.215,0.541,0.501,13.5,29.4,0.227,1.0,0.463,13.6,76.2,0.222,1.0,United Center,"893,462","21,792",Conference Finals,9.2,25.0,8.39,-4.299999999999997,3.5,-5.700000000000003,0.5,0.008000000000000007
Utah Jazz,2011,20,26.8,39,43,36,46,-1.83,0.39,-1.44,108.1,110.1,-2.0,91.0,0.313,0.191,0.544,0.498,13.5,27.0,0.241,,0.505,13.8,71.7,0.275,0,EnergySolutions Arena,"799,982","19,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
