Team_x,Year,Rk,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Playoffs,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Successful,Arena,Attend.,Attend./G,Lost To,Round made it to,Team_y,Lost to Rk,Lost to Age,Lost to W,Lost to L,Lost to PW,Lost to PL,Lost to MOV,Lost to SOS,Lost to SRS,Lost to ORtg,Lost to DRtg,Lost to NRtg,Lost to Pace,Lost to FTr,Lost to 3PAr,Lost to TS%,Lost to eFG%,Lost to TOV%,Lost to ORB%,Lost to FT/FGA,Lost to Playoffs,Lost to eFG%.1,Lost to TOV%.1,Lost to DRB%,Lost to FT/FGA.1,Lost to Successful,Lost to Arena,Lost to Attend.,Lost to Attend./G,Lost to Round made it to,Difference NRtg,Difference W,Difference MOV,Difference Pace,Difference ORtg,Difference DRtg,Difference Age,Difference TS%
Utah Jazz,2012,16,25.6,36,30,34,32,0.62,0.3,0.92,106.8,106.1,0.7,91.4,0.302,0.153,0.525,0.481,13.0,30.2,0.227,1.0,0.493,13.8,73.8,0.245,0,EnergySolutions Arena,"637,124","19,307",San Antonio Spurs,Conference First Round,San Antonio Spurs,2.0,27.5,50.0,16.0,48.0,18.0,7.17,0.11,7.28,110.9,103.2,7.7,92.9,0.261,0.257,0.562,0.528,12.8,25.1,0.195,1.0,0.489,12.9,76.0,0.168,1.0,AT&T Center,"607,095","18,397",Conference Finals,7.0,14.0,6.55,1.5,4.1000000000000085,-2.8999999999999915,1.8999999999999986,0.03700000000000003
Milwaukee Bucks,2012,17,26.2,31,35,34,32,0.27,-0.5,-0.23,105.5,105.2,0.3,93.7,0.25,0.224,0.521,0.481,12.9,27.7,0.194,,0.489,14.6,70.9,0.217,0,Bradley Center,"485,717","14,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,2012,18,26.2,34,32,34,32,0.23,0.35,0.57,105.5,105.2,0.3,91.7,0.235,0.24,0.529,0.492,13.5,27.5,0.184,,0.49,13.8,73.4,0.21,0,Toyota Center,"506,994","15,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,2012,19,28.9,33,33,32,34,-0.24,0.53,0.29,106.2,106.5,-0.3,92.6,0.257,0.238,0.536,0.499,13.3,25.8,0.194,,0.491,13.1,71.7,0.2,0,US Airways Center,"514,718","15,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,2012,20,27.5,28,38,32,34,-0.62,0.41,-0.22,105.7,106.4,-0.7,91.2,0.263,0.255,0.531,0.488,13.4,26.3,0.209,,0.504,14.1,72.8,0.199,0,Rose Garden Arena,"676,384","20,496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,2012,21,24.4,26,40,28,38,-2.2,0.37,-1.83,104.3,106.6,-2.3,93.3,0.306,0.262,0.524,0.477,14.0,27.5,0.236,,0.491,12.2,73.0,0.187,0,Target Center,"577,197","17,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,2012,22,25.3,23,43,25,41,-3.41,0.62,-2.79,105.4,109.1,-3.7,92.3,0.227,0.248,0.539,0.505,13.3,22.9,0.175,,0.496,13.6,69.1,0.237,0,Oracle Arena,"622,311","18,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,2012,23,25.7,23,43,25,41,-3.3,-0.36,-3.67,100.8,104.5,-3.7,89.3,0.274,0.209,0.518,0.475,14.8,25.9,0.211,,0.475,12.8,75.4,0.26,0,Air Canada Centre,"555,584","16,836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Hornets,2012,24,25.5,21,45,24,42,-3.76,0.65,-3.11,100.9,105.1,-4.2,88.3,0.274,0.152,0.517,0.476,15.2,27.5,0.207,,0.485,13.5,73.1,0.218,0,New Orleans Arena,"498,618","15,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,2012,25,24.2,20,46,22,44,-4.8,-0.34,-5.14,101.0,106.2,-5.2,92.5,0.253,0.196,0.508,0.472,14.2,27.3,0.184,,0.492,14.2,70.9,0.229,0,Verizon Center,"552,038","16,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,2012,26,26.3,25,41,22,44,-4.79,-0.4,-5.19,101.0,106.3,-5.3,89.2,0.279,0.175,0.51,0.468,15.0,28.1,0.21,,0.5,14.2,72.8,0.226,0,The Palace of Auburn Hills,"475,638","14,413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento Kings,2012,27,24.3,22,44,21,45,-5.68,0.73,-4.95,103.8,109.8,-6.0,94.7,0.268,0.228,0.51,0.472,13.0,29.1,0.197,,0.515,13.9,70.5,0.199,0,Power Balance Pavilion,"478,764","14,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey Nets,2012,28,26.1,22,44,19,47,-5.98,-0.39,-6.37,102.9,109.6,-6.7,90.1,0.269,0.278,0.516,0.473,14.3,27.8,0.209,,0.513,13.7,70.7,0.209,0,Prudential Center,"460,719","13,961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,2012,29,26.0,21,45,17,49,-7.2,-0.14,-7.34,101.1,108.9,-7.8,91.3,0.307,0.238,0.505,0.463,14.3,28.9,0.22,,0.508,13.1,72.2,0.202,0,Quicken Loans Arena,"525,577","15,927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Bobcats,2012,30,24.5,7,59,7,59,-13.91,-0.05,-13.96,95.2,110.4,-15.2,91.1,0.276,0.169,0.483,0.439,13.9,23.6,0.206,,0.512,12.8,70.9,0.206,0,Time Warner Cable Arena,"486,984","14,757",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,2013,1,26.0,60,22,64,18,9.21,-0.06,9.15,112.4,102.6,9.8,93.3,0.338,0.244,0.58,0.527,14.4,26.7,0.28,1.0,0.469,13.5,73.4,0.197,0,Chesapeake Energy Arena,"746,323","18,203",Memphis Grizzlies,Conference Semifinals,Memphis Grizzlies,7.0,27.0,56.0,26.0,54.0,28.0,4.15,0.18,4.32,104.9,100.3,4.6,88.4,0.261,0.166,0.514,0.472,13.3,31.0,0.202,1.0,0.475,15.2,74.3,0.209,1.0,FedEx Forum,"681,613","16,625",Conference Finals,-5.200000000000001,-4.0,-5.0600000000000005,-4.8999999999999915,-7.5,-2.299999999999997,1.0,-0.06599999999999995
Miami Heat,2013,2,30.3,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,0.552,13.7,22.2,0.224,1.0,0.487,14.8,73.0,0.2,1,AmericanAirlines Arena,"819,290","19,983",,NBA Champion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,2013,3,28.8,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,7.0,91.1,0.286,0.265,0.557,0.526,13.9,28.8,0.203,1.0,0.492,15.4,73.5,0.229,0,STAPLES Center,"788,293","19,227",Memphis Grizzlies,Conference First Round,Memphis Grizzlies,7.0,27.0,56.0,26.0,54.0,28.0,4.15,0.18,4.32,104.9,100.3,4.6,88.4,0.261,0.166,0.514,0.472,13.3,31.0,0.202,1.0,0.475,15.2,74.3,0.209,1.0,FedEx Forum,"681,613","16,625",Conference Finals,-2.4000000000000004,0.0,-2.3,-2.6999999999999886,-5.699999999999989,-3.299999999999997,-1.8000000000000007,-0.04300000000000004
San Antonio Spurs,2013,4,28.6,58,24,58,24,6.4,0.27,6.67,108.3,101.6,6.7,94.2,0.258,0.264,0.568,0.531,14.0,20.5,0.204,1.0,0.48,13.7,74.9,0.179,1,AT&T Center,"755,700","18,432",Miami Heat,Finals,Miami Heat,2.0,30.3,66.0,16.0,62.0,20.0,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,0.552,13.7,22.2,0.224,1.0,0.487,14.8,73.0,0.2,1.0,AmericanAirlines Arena,"819,290","19,983",NBA Champion,1.8999999999999995,8.0,1.4699999999999998,-3.5,4.0,2.1000000000000085,1.6999999999999993,0.020000000000000018
Denver Nuggets,2013,5,26.1,57,25,55,27,5.09,0.28,5.37,110.4,105.1,5.3,95.1,0.308,0.217,0.549,0.515,13.6,31.4,0.216,1.0,0.493,14.3,71.8,0.193,0,Pepsi Center,"730,616","17,820",Golden State Warriors,Conference First Round,Golden State Warriors,12.0,25.3,47.0,35.0,44.0,38.0,0.89,0.42,1.32,106.4,105.5,0.9,94.5,0.255,0.239,0.545,0.506,14.0,25.4,0.201,1.0,0.486,12.4,75.5,0.211,0.0,Oracle Arena,"794,320","19,374",Conference Semifinals,-4.3999999999999995,-10.0,-4.2,-0.5999999999999943,-4.0,0.4000000000000057,-0.8000000000000007,-0.0040000000000000036
New York Knicks,2013,6,30.2,54,28,53,29,4.23,-0.5,3.73,111.1,106.3,4.8,89.8,0.258,0.354,0.55,0.515,11.7,25.6,0.196,1.0,0.508,14.8,74.7,0.216,0,Madison Square Garden (IV),"780,353","19,033",Indiana Pacers,Conference Semifinals,Indiana Pacers,8.0,25.7,49.0,32.0,52.0,29.0,4.02,-0.69,3.34,104.3,99.8,4.5,90.2,0.293,0.245,0.521,0.479,14.3,30.3,0.219,1.0,0.453,12.9,74.6,0.197,1.0,Bankers Life Fieldhouse,"626,069","15,270",Conference Finals,-0.2999999999999998,-5.0,-0.21000000000000085,0.4000000000000057,-6.799999999999997,-6.5,-4.5,-0.029000000000000026
Memphis Grizzlies,2013,7,27.0,56,26,54,28,4.15,0.18,4.32,104.9,100.3,4.6,88.4,0.261,0.166,0.514,0.472,13.3,31.0,0.202,1.0,0.475,15.2,74.3,0.209,1,FedEx Forum,"681,613","16,625",San Antonio Spurs,Conference Finals,San Antonio Spurs,4.0,28.6,58.0,24.0,58.0,24.0,6.4,0.27,6.67,108.3,101.6,6.7,94.2,0.258,0.264,0.568,0.531,14.0,20.5,0.204,1.0,0.48,13.7,74.9,0.179,1.0,AT&T Center,"755,700","18,432",Finals,2.1000000000000005,2.0,2.25,5.799999999999997,3.3999999999999915,1.2999999999999972,1.6000000000000014,0.05399999999999994
Indiana Pacers,2013,8,25.7,49,32,52,29,4.02,-0.69,3.34,104.3,99.8,4.5,90.2,0.293,0.245,0.521,0.479,14.3,30.3,0.219,1.0,0.453,12.9,74.6,0.197,1,Bankers Life Fieldhouse,"626,069","15,270",Miami Heat,Conference Finals,Miami Heat,2.0,30.3,66.0,16.0,62.0,20.0,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,0.552,13.7,22.2,0.224,1.0,0.487,14.8,73.0,0.2,1.0,AmericanAirlines Arena,"819,290","19,983",NBA Champion,4.1,17.0,3.8500000000000005,0.5,8.0,3.9000000000000057,4.600000000000001,0.06699999999999995
Houston Rockets,2013,9,24.4,45,37,50,32,3.48,0.22,3.69,109.7,106.1,3.6,96.1,0.308,0.349,0.564,0.525,14.9,26.4,0.232,1.0,0.502,13.5,75.2,0.196,0,Toyota Center,"683,564","16,672",Oklahoma City Thunder,Conference First Round,Oklahoma City Thunder,1.0,26.0,60.0,22.0,64.0,18.0,9.21,-0.06,9.15,112.4,102.6,9.8,93.3,0.338,0.244,0.58,0.527,14.4,26.7,0.28,1.0,0.469,13.5,73.4,0.197,0.0,Chesapeake Energy Arena,"746,323","18,203",Conference Semifinals,6.200000000000001,15.0,5.73,-2.799999999999997,2.700000000000003,-3.5,1.6000000000000014,0.016000000000000014
Brooklyn Nets,2013,10,28.6,49,33,46,36,1.78,-0.53,1.25,108.2,106.2,2.0,88.8,0.299,0.269,0.536,0.498,14.0,30.9,0.219,1.0,0.503,13.1,73.7,0.174,0,Barclays Center,"704,702","17,188",Chicago Bulls,Conference First Round,Chicago Bulls,14.0,28.0,45.0,37.0,42.0,40.0,0.32,-0.33,-0.02,103.5,103.2,0.3,89.3,0.259,0.189,0.512,0.47,13.6,29.4,0.201,1.0,0.477,13.2,73.6,0.206,0.0,United Center,"896,944","21,877",Conference Semifinals,-1.7,-4.0,-1.46,0.5,-4.700000000000003,-3.0,-0.6000000000000014,-0.02400000000000002
Los Angeles Lakers,2013,11,30.7,45,37,44,38,1.16,0.32,1.48,107.8,106.6,1.2,94.4,0.345,0.303,0.548,0.512,13.9,27.0,0.239,1.0,0.496,11.9,74.3,0.163,0,STAPLES Center,"778,877","18,997",San Antonio Spurs,Conference First Round,San Antonio Spurs,4.0,28.6,58.0,24.0,58.0,24.0,6.4,0.27,6.67,108.3,101.6,6.7,94.2,0.258,0.264,0.568,0.531,14.0,20.5,0.204,1.0,0.48,13.7,74.9,0.179,1.0,AT&T Center,"755,700","18,432",Finals,5.5,13.0,5.24,-0.20000000000000284,0.5,-5.0,-2.099999999999998,0.019999999999999907
Golden State Warriors,2013,12,25.3,47,35,44,38,0.89,0.42,1.32,106.4,105.5,0.9,94.5,0.255,0.239,0.545,0.506,14.0,25.4,0.201,1.0,0.486,12.4,75.5,0.211,0,Oracle Arena,"794,320","19,374",San Antonio Spurs,Conference Semifinals,San Antonio Spurs,4.0,28.6,58.0,24.0,58.0,24.0,6.4,0.27,6.67,108.3,101.6,6.7,94.2,0.258,0.264,0.568,0.531,14.0,20.5,0.204,1.0,0.48,13.7,74.9,0.179,1.0,AT&T Center,"755,700","18,432",Finals,5.8,11.0,5.510000000000001,-0.29999999999999716,1.8999999999999915,-3.9000000000000057,3.3000000000000007,0.02299999999999991
Atlanta Hawks,2013,13,27.1,44,38,42,40,0.4,-0.48,-0.08,104.8,104.4,0.4,92.6,0.244,0.286,0.546,0.517,14.2,22.2,0.174,1.0,0.496,14.2,73.6,0.181,0,Philips Arena,"620,146","15,126",Indiana Pacers,Conference First Round,Indiana Pacers,8.0,25.7,49.0,32.0,52.0,29.0,4.02,-0.69,3.34,104.3,99.8,4.5,90.2,0.293,0.245,0.521,0.479,14.3,30.3,0.219,1.0,0.453,12.9,74.6,0.197,1.0,Bankers Life Fieldhouse,"626,069","15,270",Conference Finals,4.1,5.0,3.6199999999999997,-2.3999999999999915,-0.5,-4.6000000000000085,-1.4000000000000021,-0.025000000000000022
Chicago Bulls,2013,14,28.0,45,37,42,40,0.32,-0.33,-0.02,103.5,103.2,0.3,89.3,0.259,0.189,0.512,0.47,13.6,29.4,0.201,1.0,0.477,13.2,73.6,0.206,0,United Center,"896,944","21,877",Miami Heat,Conference Semifinals,Miami Heat,2.0,30.3,66.0,16.0,62.0,20.0,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,0.552,13.7,22.2,0.224,1.0,0.487,14.8,73.0,0.2,1.0,AmericanAirlines Arena,"819,290","19,983",NBA Champion,8.299999999999999,21.0,7.55,1.4000000000000057,8.799999999999997,0.5,2.3000000000000007,0.07599999999999996
Utah Jazz,2013,15,26.3,43,39,41,41,-0.09,0.38,0.3,106.7,106.8,-0.1,90.9,0.281,0.206,0.533,0.492,13.8,28.8,0.214,,0.501,14.0,73.2,0.226,0,EnergySolutions Arena,"763,915","18,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,2013,16,29.1,41,40,40,41,-0.22,-0.4,-0.62,103.1,103.3,-0.2,91.7,0.263,0.215,0.542,0.503,14.1,20.1,0.204,1.0,0.482,14.2,73.3,0.216,0,TD Garden,"744,960","18,624",New York Knicks,Conference First Round,New York Knicks,6.0,30.2,54.0,28.0,53.0,29.0,4.23,-0.5,3.73,111.1,106.3,4.8,89.8,0.258,0.354,0.55,0.515,11.7,25.6,0.196,1.0,0.508,14.8,74.7,0.216,0.0,Madison Square Garden (IV),"780,353","19,033",Conference Semifinals,5.0,13.0,4.45,-1.9000000000000057,8.0,3.0,1.0999999999999979,0.008000000000000007
Dallas Mavericks,2013,17,29.5,41,41,39,43,-0.6,0.36,-0.24,105.9,106.5,-0.6,94.1,0.242,0.236,0.544,0.506,13.0,21.8,0.192,,0.492,13.3,73.1,0.227,0,American Airlines Center,"821,490","20,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,2013,18,26.4,38,44,37,45,-1.5,-0.33,-1.83,103.6,105.2,-1.6,94.7,0.236,0.232,0.51,0.476,12.7,27.9,0.174,1.0,0.492,14.4,71.3,0.201,0,BMO Harris Bradley Center,"616,469","15,036",Miami Heat,Conference First Round,Miami Heat,2.0,30.3,66.0,16.0,62.0,20.0,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,0.552,13.7,22.2,0.224,1.0,0.487,14.8,73.0,0.2,1.0,AmericanAirlines Arena,"819,290","19,983",NBA Champion,10.2,28.0,9.370000000000001,-4.0,8.700000000000003,-1.5,3.900000000000002,0.07799999999999996
Toronto Raptors,2013,19,25.4,34,48,37,45,-1.48,-0.48,-1.96,105.9,107.5,-1.6,90.4,0.274,0.249,0.532,0.488,13.0,25.5,0.216,,0.5,13.6,73.4,0.247,0,Air Canada Centre,"743,936","18,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,2013,20,26.4,31,51,34,48,-2.37,0.54,-1.83,102.9,105.4,-2.5,92.8,0.305,0.22,0.516,0.473,13.8,27.4,0.226,,0.511,15.0,74.0,0.187,0,Target Center,"669,956","16,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,2013,21,25.4,29,53,33,49,-2.54,-0.25,-2.78,100.2,103.0,-2.8,92.2,0.261,0.223,0.512,0.475,14.2,24.6,0.191,,0.483,13.7,74.6,0.206,0,Verizon Center,"670,070","16,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,2013,22,24.4,33,49,32,50,-3.17,0.65,-2.53,105.8,109.2,-3.4,91.4,0.25,0.284,0.536,0.498,13.9,25.3,0.194,,0.512,12.5,73.3,0.189,0,Rose Garden Arena,"813,012","19,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,2013,23,25.2,34,48,31,51,-3.34,-0.17,-3.51,102.0,105.7,-3.7,91.0,0.2,0.209,0.509,0.481,12.5,24.9,0.146,,0.495,13.7,73.4,0.2,0,Wells Fargo Center,"685,412","16,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,2013,24,25.3,29,53,29,53,-3.99,-0.34,-4.33,103.8,108.1,-4.3,90.8,0.282,0.217,0.521,0.487,14.3,28.3,0.197,,0.505,13.1,73.0,0.209,0,The Palace of Auburn Hills,"606,094","14,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Hornets,2013,25,24.0,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,-4.4,88.5,0.248,0.224,0.528,0.489,14.0,29.2,0.193,,0.52,13.1,74.4,0.208,0,New Orleans Arena,"565,930","13,803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,2013,26,24.1,24,58,28,54,-4.68,-0.19,-4.87,104.3,109.4,-5.1,92.3,0.265,0.229,0.514,0.473,13.0,28.1,0.2,,0.523,14.4,72.6,0.225,0,Quicken Loans Arena,"663,882","16,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento Kings,2013,27,25.6,28,54,28,54,-4.88,0.62,-4.26,106.2,111.4,-5.2,93.6,0.271,0.243,0.532,0.491,13.4,26.6,0.208,,0.517,13.6,71.0,0.227,0,Sleep Train Arena,"563,743","13,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,2013,28,26.9,25,57,23,59,-6.46,0.71,-5.75,101.2,108.1,-6.9,93.4,0.234,0.21,0.512,0.477,14.3,27.0,0.174,,0.512,14.2,71.9,0.208,0,US Airways Center,"632,913","15,437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,2013,29,24.6,20,62,22,60,-6.99,-0.14,-7.12,101.6,109.1,-7.5,92.2,0.197,0.223,0.514,0.485,13.7,25.4,0.149,,0.508,11.8,74.6,0.195,0,Amway Center,"722,716","17,627",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Bobcats,2013,30,24.4,21,61,17,65,-9.23,-0.06,-9.29,101.5,111.5,-10.0,91.5,0.31,0.21,0.507,0.46,13.2,25.7,0.233,,0.524,13.2,71.1,0.197,0,Time Warner Cable Arena,"628,293","15,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,2014,1,28.9,62,20,61,21,7.72,0.28,8.0,110.5,102.4,8.1,95.0,0.24,0.257,0.571,0.537,13.5,22.7,0.188,1.0,0.482,12.8,76.4,0.184,1,AT&T Center,"755,031","18,415",,NBA Champion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,2014,2,28.1,57,25,59,23,6.98,0.3,7.27,112.1,104.8,7.3,95.9,0.353,0.291,0.567,0.526,12.7,25.0,0.258,1.0,0.484,13.8,72.5,0.222,0,STAPLES Center,"787,692","19,212",Oklahoma City Thunder,Conference Semifinals,Oklahoma City Thunder,3.0,26.2,59.0,23.0,58.0,24.0,6.34,0.32,6.66,110.5,103.9,6.6,95.4,0.303,0.271,0.566,0.52,14.0,26.5,0.244,1.0,0.488,13.9,75.6,0.221,1.0,Chesapeake Energy Arena,"746,323","18,203",Conference Finals,-0.7000000000000002,2.0,-0.6400000000000006,-0.5,-1.5999999999999943,-0.8999999999999915,-1.9000000000000021,-0.0010000000000000009
Oklahoma City Thunder,2014,3,26.2,59,23,58,24,6.34,0.32,6.66,110.5,103.9,6.6,95.4,0.303,0.271,0.566,0.52,14.0,26.5,0.244,1.0,0.488,13.9,75.6,0.221,1,Chesapeake Energy Arena,"746,323","18,203",San Antonio Spurs,Conference Finals,San Antonio Spurs,1.0,28.9,62.0,20.0,61.0,21.0,7.72,0.28,8.0,110.5,102.4,8.1,95.0,0.24,0.257,0.571,0.537,13.5,22.7,0.188,1.0,0.482,12.8,76.4,0.184,1.0,AT&T Center,"755,031","18,415",NBA Champion,1.5,3.0,1.38,-0.4000000000000057,0.0,-1.5,2.6999999999999993,0.0050000000000000044
Miami Heat,2014,4,30.6,54,28,54,28,4.76,-0.61,4.15,110.9,105.8,5.1,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,1.0,0.511,15.8,73.0,0.212,1,AmericanAirlines Arena,"811,036","19,781",San Antonio Spurs,Finals,San Antonio Spurs,1.0,28.9,62.0,20.0,61.0,21.0,7.72,0.28,8.0,110.5,102.4,8.1,95.0,0.24,0.257,0.571,0.537,13.5,22.7,0.188,1.0,0.482,12.8,76.4,0.184,1.0,AT&T Center,"755,031","18,415",NBA Champion,3.0,8.0,2.96,3.799999999999997,-0.4000000000000057,-3.3999999999999915,-1.7000000000000028,-0.019000000000000017
Golden State Warriors,2014,5,26.3,51,31,54,28,4.8,0.34,5.15,107.5,102.6,4.9,96.2,0.247,0.291,0.55,0.517,13.8,25.1,0.186,1.0,0.477,13.6,76.3,0.224,0,Oracle Arena,"803,436","19,596",Los Angeles Clippers,Conference First Round,Los Angeles Clippers,2.0,28.1,57.0,25.0,59.0,23.0,6.98,0.3,7.27,112.1,104.8,7.3,95.9,0.353,0.291,0.567,0.526,12.7,25.0,0.258,1.0,0.484,13.8,72.5,0.222,0.0,STAPLES Center,"787,692","19,212",Conference Semifinals,2.3999999999999995,6.0,2.1800000000000006,-0.29999999999999716,4.599999999999994,2.200000000000003,1.8000000000000007,0.016999999999999904
Indiana Pacers,2014,6,27.2,56,26,54,28,4.4,-0.77,3.63,104.1,99.3,4.8,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.226,1.0,0.46,12.9,76.8,0.197,1,Bankers Life Fieldhouse,"717,542","17,501",Miami Heat,Conference Finals,Miami Heat,4.0,30.6,54.0,28.0,54.0,28.0,4.76,-0.61,4.15,110.9,105.8,5.1,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,1.0,0.511,15.8,73.0,0.212,1.0,AmericanAirlines Arena,"811,036","19,781",Finals,0.2999999999999998,-2.0,0.35999999999999943,-1.2999999999999972,6.800000000000011,6.5,3.400000000000002,0.05499999999999994
Houston Rockets,2014,7,25.4,54,28,53,29,4.56,0.5,5.06,111.0,106.3,4.7,96.3,0.386,0.33,0.571,0.531,14.6,27.4,0.275,1.0,0.489,12.5,74.1,0.193,0,Toyota Center,"743,082","18,124",Portland Trail Blazers,Conference First Round,Portland Trail Blazers,8.0,25.8,54.0,28.0,52.0,30.0,3.99,0.45,4.44,111.5,107.4,4.1,94.9,0.27,0.29,0.548,0.504,12.4,28.0,0.22,1.0,0.488,11.0,74.7,0.194,0.0,Moda Center,"809,612","19,747",Conference Semifinals,-0.6000000000000005,0.0,-0.5699999999999994,-1.3999999999999915,0.5,1.1000000000000085,0.40000000000000213,-0.02299999999999991
Portland Trail Blazers,2014,8,25.8,54,28,52,30,3.99,0.45,4.44,111.5,107.4,4.1,94.9,0.27,0.29,0.548,0.504,12.4,28.0,0.22,1.0,0.488,11.0,74.7,0.194,0,Moda Center,"809,612","19,747",San Antonio Spurs,Conference Semifinals,San Antonio Spurs,1.0,28.9,62.0,20.0,61.0,21.0,7.72,0.28,8.0,110.5,102.4,8.1,95.0,0.24,0.257,0.571,0.537,13.5,22.7,0.188,1.0,0.482,12.8,76.4,0.184,1.0,AT&T Center,"755,031","18,415",NBA Champion,4.0,8.0,3.7299999999999995,0.09999999999999432,-1.0,-5.0,3.099999999999998,0.02299999999999991
Toronto Raptors,2014,9,25.6,48,34,50,32,3.24,-0.69,2.55,108.8,105.3,3.5,91.8,0.306,0.285,0.545,0.498,13.2,27.2,0.239,1.0,0.493,14.1,74.9,0.237,0,Air Canada Centre,"748,339","18,252",Brooklyn Nets,Conference First Round,Brooklyn Nets,19.0,30.0,44.0,38.0,38.0,44.0,-1.0,-0.58,-1.58,106.7,107.7,-1.0,91.4,0.313,0.301,0.555,0.514,14.1,21.7,0.236,1.0,0.509,14.9,72.3,0.236,0.0,Barclays Center,"707,331","17,252",Conference Semifinals,-4.5,-4.0,-4.24,-0.3999999999999915,-2.0999999999999943,2.4000000000000057,4.399999999999999,0.010000000000000009
Phoenix Suns,2014,10,26.2,48,34,48,34,2.63,0.39,3.02,109.5,106.7,2.8,95.8,0.293,0.3,0.558,0.519,14.0,26.4,0.222,,0.496,13.9,73.7,0.237,0,US Airways Center,"650,739","15,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,2014,11,26.3,40,42,48,34,2.67,0.43,3.1,108.9,106.2,2.7,97.3,0.321,0.245,0.535,0.486,12.2,27.4,0.249,,0.518,14.8,74.4,0.177,0,Target Center,"597,157","14,565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
